model_id,reason
unsloth/Meta-Llama-3.1-8B-Instruct,nearly_equal
Snowflake/Llama-3.1-SwiftKV-8B-Instruct,value_error
unsloth/Llama-3.1-8B-Instruct,nearly_equal
Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,not_text
nvidia/Llama-3.1-8B-Instruct-FP8,dtypes_mismatch
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,not_bf16
THUDM/cogvlm2-llama3-caption,import_error
Skywork/Skywork-Reward-Llama-3.1-8B,not_text
HKUSTAudio/Llasa-8B,not_text
Skywork/Skywork-Reward-V2-Llama-3.1-8B,not_text
WiroAI/wiroai-turkish-llm-8b,not_bf16
curiositytech/MARS-v0.2,not_bf16
NAPS-ai/naps-llama-3_1-8b-instruct-v02,not_bf16
NAPS-ai/naps-llama-3_1-8b-instruct-v01,not_bf16
NAPS-ai/naps-llama-3-1-instruct-v0.5.1,not_bf16
mims-harvard/TxAgent-T1-Llama-3.1-8B,not_bf16
SEOKDONG/llama3.1_korean_v1.6_sft_by_aidx,not_bf16
SEOKDONG/llama3.1_korean_v1.1_sft_by_aidx,not_bf16
stanfordnlp/llama8b-nnetnav-wa,not_bf16
SEOKDONG/llama3.1_korean_v1.2_sft_by_aidx,not_bf16
AIDX-ktds/ktdsbaseLM-v0.13-onbased-llama3.1,not_bf16
SEOKDONG/llama3.1_korean_v1.5_sft_by_aidx,not_bf16
AIDX-ktds/ktdsbaseLM-v0.11-onbased-llama3.1,not_bf16
AIDX-ktds/ktdsbaseLM-v0.10-onbased-llama3.1,not_bf16
hyokwan/llama31_common,not_bf16
AIDXteam/ktdsbaseLM-v0.15-onbased-llama3.1,not_bf16
SEOKDONG/llama3.1_korean_v0.1_sft_by_aidx,not_bf16
ValiantLabs/Llama3.1-8B-Cobalt,not_bf16
leafspark/Llama-3.1-8B-MultiReflection-Instruct,not_bf16
SEOKDONG/llama3.1_korean_v1.3_sft_by_aidx,not_bf16
ValiantLabs/Llama3.1-8B-Fireplace2,not_bf16
ValiantLabs/Llama3.1-8B-ShiningValiant2,not_bf16
Skywork/Skywork-Reward-V2-Llama-3.1-8B-40M,not_text
allenai/Llama-3.1-8B-Instruct-RM-RB2,not_bf16
ai4bharat/hercule-fr,not_bf16
Skywork/Skywork-Critic-Llama-3.1-8B,not_bf16
DeSTA-ntu/DeSTA2.5-Audio-Llama-3.1-8B,value_error
yuvraj17/EvolCodeLlama-3.1-8B-Instruct,dtypes_mismatch
chtmp223/Llama-3.1-8B-CLIPPER,not_bf16
EarthSpeciesProject/NatureLM-audio,value_error
THUMedInfo/GENIE_en_8b,not_bf16
DongkiKim/Mol-Llama-3.1-8B-Instruct,value_error
ICTNLP/Llama-3.1-8B-Omni,value_error
